id,category,type,tp,fp,fn,precision,recall,f1,exact_match,n_ground_truth,n_pred,prompt,timestamp,latency_s,prompt_tokens,completion_tokens,total_tokens,source,error_notes
16,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Munculkan jadwal dari dosen Irfan,2025-05-23T22:17:01.525314,1.81,909,204,1113,txt_source,
17,K-1,schedule_rows,1,0,1,1.0,0.5,0.6666666666666666,0,2,1,Di mana seminar Rizky dilaksanakan,2025-05-23T22:17:07.747904,1.641,907,206,1113,txt_source,
18,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pada pukul berapa seminar Rizal Sihombing dimulai,2025-05-23T22:17:13.824509,1.735,910,202,1112,txt_source,
19,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rizky Renaldi,2025-05-23T22:17:19.779788,1.742,909,206,1115,txt_source,
20,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Muhammad Rizky Pratama Solahudin,2025-05-23T22:17:26.755788,2.693,914,204,1118,txt_source,
21,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Rizky Renaldi Cahya Febrian,2025-05-23T22:17:32.692906,1.781,913,206,1119,txt_source,
22,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Rizal Sihombing berakhir,2025-05-23T22:17:38.752010,1.641,909,202,1111,txt_source,
23,K-1,schedule_rows,1,0,1,1.0,0.5,0.6666666666666666,0,2,1,Jam berapa seminar Rizky dimulai,2025-05-23T22:17:45.785490,1.675,907,206,1113,txt_source,
24,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa seminar akan dilaksanakan oleh Rizky Pratama Solahudin,2025-05-23T22:17:51.828765,1.692,914,204,1118,txt_source,
25,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa Dosen yang ada diseminar Rizky Renaldi,2025-05-23T22:17:56.454517,1.038,632,67,699,txt_source,
26,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan seminar dari Muhammad Rizky,2025-05-23T22:18:02.524141,1.73,909,204,1113,txt_source,
27,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tampilkan jadwal Bapak Taryana,2025-05-23T22:18:10.528811,2.872,1718,359,2077,txt_source,
28,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Dimana ruang seminarnya Hafid,2025-05-23T22:18:16.680333,1.801,1719,200,1919,txt_source,
29,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa atas nama Simatupang,2025-05-23T22:18:22.472465,1.6,1724,201,1925,txt_source,
30,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tanggal berapa Bu Gentisya seminar,2025-05-23T22:18:30.840724,3.415,1720,383,2103,txt_source,
31,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Hari apa saja Pak Dedeng seminar,2025-05-23T22:18:38.274977,2.559,1719,386,2105,txt_source,
32,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja mahasiswa yang seminar dengan Pak Galih,2025-05-23T22:18:45.810447,2.418,1722,372,2094,txt_source,
33,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Dimas,2025-05-23T22:48:15.540172,2.057,1719,200,1919,txt_source,
34,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa saja dosen yang seminar bersama Pak Chrismikha,2025-05-23T22:48:20.263493,1.066,1442,81,1523,txt_source,
35,K-1,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Sebutkan mahasiswa yang diuji oleh Pak Eko Budi,2025-05-23T22:19:03.569560,4.758,3126,739,3865,txt_source,
36,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Sebutkan NIM mahasiswa yang diuji oleh Bu Anna Dara,2025-05-23T22:19:19.098028,6.751,3125,912,4037,txt_source,
37,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tampilkan jadwal seminar dari mahasiswa Muhammad Irsyad,2025-05-23T22:19:25.618122,2.071,3123,194,3317,txt_source,
38,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan judul skripsi dari mahasiwa Mochamad Yusuf,2025-05-23T22:19:31.772648,1.92,3126,215,3341,txt_source,
39,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Di ruang mana seminar dengan Bu Anna Dara,2025-05-23T22:19:45.244818,5.284,3121,912,4033,txt_source,
40,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Sacofi dilaksanakan,2025-05-23T22:48:26.952864,1.96,3120,215,3335,txt_source,
41,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa nama mahasiswa dengan NIM 10118058,2025-05-23T22:19:57.681290,1.977,1135,214,1349,txt_source,
42,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa dengan NIM 10118039,2025-05-23T22:20:04.538296,1.84,1137,214,1351,txt_source,
43,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana seminar NIM 10119192 berlangsung,2025-05-23T22:20:09.772960,1.708,1135,206,1341,txt_source,
44,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa seminar NIM 10117172 selesai,2025-05-23T22:20:16.113847,1.836,1135,214,1349,txt_source,
45,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Kapan tanggal seminar mahasiswa NIM 10118346,2025-05-23T22:20:22.167840,1.696,1135,203,1338,txt_source,
46,K-2,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa penguji seminar dari mahasiswa NIM 10119913,2025-05-23T22:20:26.577611,0.94,540,63,603,txt_source,
47,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa mahasiswa dengan NIM 10120901 seminar,2025-05-23T22:20:32.387586,1.562,820,200,1020,txt_source,
48,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 27 Mei 2024, mulai 09.15",2025-05-23T22:20:39.110576,2.016,2505,209,2714,txt_source,
49,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6028, 27 Mei 2024, selesai 10.30",2025-05-23T22:20:48.615869,1.878,2505,205,2710,txt_source,
50,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6028, 29 Mei 2024, jam 8",2025-05-23T22:20:54.958678,1.996,2501,217,2718,txt_source,
51,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 29 Mei 2024, selesai 10.30",2025-05-23T22:21:02.182335,1.782,2505,206,2711,txt_source,
52,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 02 Jan 2024, mulai 09.15",2025-05-23T22:21:08.768249,2.11,3139,209,3348,txt_source,
53,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6010, 02 Januari 2024, mulai 10:30",2025-05-23T22:21:14.980886,1.795,3139,199,3338,txt_source,
54,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6028, 3 Januari 2024, selesai 09:15",2025-05-23T22:21:22.521881,2.083,3138,211,3349,txt_source,
55,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6010, 03 Januari 2024, selesai pukul 13",2025-05-23T22:21:28.524212,1.889,3137,202,3339,txt_source,
56,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,NIM mahasiswa yang diuji Chrismikha pada 21 Juni 2024,2025-05-23T22:21:36.833065,2.451,5132,379,5511,txt_source,
57,K-4,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Semua mahasiswa di ruang R6010 tanggal 21 Juni 2024,2025-05-23T22:21:48.864218,4.525,5132,743,5875,txt_source,
58,K-4,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Mahasiswa di ruang R6010 tanggal 2 Jan 2024,2025-05-23T22:22:00.969400,4.451,3131,721,3852,txt_source,
59,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,NIM mahasiswa seminar selesai pukul 09.15 tanggal 3 Jan 2024,2025-05-23T22:22:09.406012,3.701,3133,376,3509,txt_source,
60,K-4,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Mahasiswa yang diuji Anna tanggal 4 Jan 2024.,2025-05-23T22:22:20.527260,3.534,3129,564,3693,txt_source,
61,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Semua mahasiswa seminar di R6028 hari Sabtu,2025-05-23T22:22:28.898138,4.069,6732,373,7105,txt_source,
62,K-4,schedule_rows,1,2,1,0.3333333333333333,0.5,0.4,0,2,3,Mahasiswa yang diuji Bu Sufaatin jam 09:15,2025-05-23T22:22:38.575891,3.828,6737,536,7273,txt_source,
63,K-4,lecturer_list,2,0,3,1.0,0.4,0.5714285714285715,0,5,2,Semua dosen yang menguji di ruang R6010 tanggal 28 Juni 2024,2025-05-23T22:49:50.315483,1.298,6461,61,6522,txt_source,
64,K-4,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,NIM mahasiswa yang seminar di R6028 tanggal 27 Juni 2024,2025-05-23T22:22:54.138637,5.461,6741,917,7658,txt_source,
65,K-4,schedule_rows,12,0,0,1.0,1.0,1.0,1,12,12,Nama mahasiswa yang seminar pada tanggal 26 Jun 2024,2025-05-23T22:23:19.118242,11.363,6736,2163,8899,txt_source,
66,K-4,lecturer_list,2,0,2,1.0,0.5,0.6666666666666666,0,4,2,Semua dosen yang menguji di hari Kamis ruang R6010,2025-05-23T22:23:24.448797,1.228,2845,62,2907,txt_source,
67,K-4,schedule_rows,0,0,2,0.0,0.0,0.0,0,2,0,Mahasiswa yang diuji oleh Bu Dian tanggal 5 Januari 2024,2025-05-23T22:23:28.454420,0.739,3130,25,3155,txt_source,
68,K-4,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,NIM mahasiswa yang seminar di R6010 hari Jumat,2025-05-23T22:23:37.896167,3.148,3125,572,3697,txt_source,
69,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,"Semua mahasiswa yang seminar di R6028, tanggal 4 Januari 2024",2025-05-23T22:23:45.949176,2.658,3133,384,3517,txt_source,
70,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa seminar di R6010 tanggal 2 Jan 2024,2025-05-23T22:23:50.375909,0.818,2819,33,2852,txt_source,
71,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Jumlah jadwal di R6028 tanggal 3 Jan 2024,2025-05-23T22:23:55.050561,1.039,2818,33,2851,txt_source,
72,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Total seminar mulai 09.15 tanggal 28 Juni 2024,2025-05-23T22:24:00.038183,1.042,6428,33,6461,txt_source,
73,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Banyak seminar di 6028 tanggal 26 Juni 2024,2025-05-23T22:24:04.644299,1.204,6427,33,6460,txt_source,
74,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah seminar berakhir 10.30 tanggal 24 Juni 2024,2025-05-23T22:24:10.017363,1.127,6428,33,6461,txt_source,
75,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Berapa jumlah dosen yang seminar tanggal 4 Jan,2025-05-23T22:24:14.714398,1.062,2811,33,2844,txt_source,
76,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa banyak mahasiswa yang seminar hari Rabu,2025-05-23T22:24:18.498101,0.892,2809,33,2842,txt_source,
77,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Total seminar berakhir jam 11.45  tanggal 1 Juli 2024,2025-05-23T22:24:23.729538,1.199,5000,33,5033,txt_source,
78,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah jadwal di R6028 tanggal 2 Juli 2024,2025-05-23T22:24:28.744881,1.073,4997,33,5030,txt_source,
79,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Banyak seminar Bu Nelly hari Selasa,2025-05-23T22:24:33.012833,0.779,4986,33,5019,txt_source,
80,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Jumlah mahasiswa yang seminar di R6010 tanggal 4 Juli 2024,2025-05-23T22:24:38.140225,1.178,4999,33,5032,txt_source,
81,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa saja mahasiswa dengan seminar paling pagi pada tanggal 1 Juli 2024? Jika ada lebih dari 1 orang, ambil yang nim nya paling kecil.",2025-05-23T22:24:44.938445,2.107,5326,209,5535,txt_source,
82,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling akhir pada  4 Juli 2024,2025-05-23T22:24:51.295134,2.112,5308,194,5502,txt_source,
83,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Mahasiswa mana yang memiliki judul skripsi terpanjang pada 5 Juli 2024,2025-05-23T22:24:58.151472,2.386,5312,212,5524,txt_source,
84,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Di antara seminar tanggal 4 Juli 2024, siapa mahasiswa dengan NIM terkecil",2025-05-23T22:25:05.123952,2.141,5312,201,5513,txt_source,
85,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,"Untuk seminar tanggal 3 Juli 2024, judul mana yang muncul pertama secara alfabetis dan milik mahasiswa siapa",2025-05-23T22:25:13.989927,2.914,5316,194,5510,txt_source,
86,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa saja mahasiswa dengan seminar paling akhir pada tanggal 8 Juli 2024? Jika ada lebih dari 1 orang, ambil yang nim nya paling kecil",2025-05-23T22:25:19.926695,1.744,1514,206,1720,txt_source,
87,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling awal pada hari Senin? Jika lebih dari 1 orang ambil nim yang paling besar,2025-05-23T22:25:27.159040,2.826,1503,211,1714,txt_source,
88,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,Mahasiswa mana yang memiliki judul skripsi paling singkat pada  tanggal 10 Juli 2024,2025-05-23T22:25:34.065617,1.6,1503,191,1694,txt_source,
89,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Di antara seminar tanggal 9 Juli 2024, siapa mahasiswa dengan NIM terkecil",2025-05-23T22:25:40.190103,1.895,1501,215,1716,txt_source,
90,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Untuk seminar tanggal 8 Juli 2024, judul mana yang muncul pertama secara alfabetis dan milik mahasiswa siapa",2025-05-23T22:25:46.401824,1.822,1505,212,1717,txt_source,
91,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling terakhir pada hari Senin,2025-05-23T22:25:52.320491,1.626,911,202,1113,txt_source,
92,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan NIM terkecil yang seminar di ruang  6010 pada 11 Desember 2023,2025-05-23T22:25:58.269439,1.582,928,204,1132,txt_source,
93,K-6,lecturer_list,1,1,1,0.5,0.5,0.5,0,2,2,Siapa saja dosen yang menguji terbanyak pada tanggal 5 Januari 2024 jika lebih dari satu tampilkan sesuai urutan alphabet,2025-05-23T22:26:11.891648,9.845,2860,62,2922,txt_source,
94,K-4,lecturer_list,6,0,0,1.0,1.0,1.0,1,6,6,Urutkan berdasarkan alphabet nama dosen yang seminar di hari Jumat,2025-05-23T22:26:17.457263,1.552,2843,130,2973,txt_source,
95,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Pada seminar tanggal 2 Januari 2024, siapakah mahasiswa yang memiliki NIM terbesar",2025-05-23T22:26:32.272921,1.841,3132,211,3343,txt_source,
96,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan NIM terkecil yang seminar di ruang R6010 pada hari Selasa,2025-05-23T22:26:38.102696,2.008,3133,209,3342,txt_source,
97,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa mahasiswa dengan seminar paling pagi di ruang R6028 pada tanggal 3 Januari 2024? Jika lebih dari satu, ambil NIM terkecil.",2025-05-23T22:26:45.492389,1.923,3149,211,3360,txt_source,
98,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan NIM mahasiswa terkecil yang seminar di Ruang 6010 pada tanggal 3 Januari 2024,2025-05-23T22:26:51.687517,1.706,3141,193,3334,txt_source,
99,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Sebutkan NIM mahasiswa yang seminar di hari Sabtu, jika lebih dari satu tampilkan NIM yang terbesar",2025-05-23T22:26:57.898495,1.711,3133,196,3329,txt_source,
100,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Mahasiswa yang memiliki judul skripsi paling panjang pada tanggal 6 Januari 2024,2025-05-23T22:27:04.416595,1.943,3132,212,3344,txt_source,
101,K-1,schedule_rows,7,0,0,1.0,1.0,1.0,1,7,7,Tampilkan jadwal sidang Pak Andri,2025-05-23T22:27:22.924747,7.888,5262,1370,6632,txt_source,
102,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana sidang Ikhsan dilaksanakan,2025-05-23T22:27:38.766274,11.048,5264,210,5474,txt_source,
103,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa sidang Muhammad Rifqu dimulai,2025-05-23T22:27:45.582134,2.016,5264,217,5481,txt_source,
104,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Fermi Naufal Akbar,2025-05-23T22:27:52.128965,1.989,5265,213,5478,txt_source,
105,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Tri Novarel Rahmadhani,2025-05-23T22:28:00.096478,3.082,5267,210,5477,txt_source,
106,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa sidang  Muh Nur I,2025-05-23T22:28:07.184732,2.355,5264,223,5487,txt_source,
107,K-1,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,Jam berapa sidang Ferdi berakhir,2025-05-23T22:28:15.212014,3.035,5262,215,5477,txt_source,
108,K-1,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Tampilkan jadwal Ir.Taryana Suryana,2025-05-23T22:28:26.772539,4.317,5265,680,5945,txt_source,
109,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang  Miftah dimulai,2025-05-23T22:28:33.082934,1.638,5264,211,5475,txt_source,
110,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa sidang  Faishal akan dilaksanakan,2025-05-23T22:28:40.626652,2.704,5265,192,5457,txt_source,
111,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan sidang dari Toni Rizky Awalludin dimulai,2025-05-23T22:28:48.836952,2.114,5268,219,5487,txt_source,
112,K-1,lecturer_list,0,3,3,0.0,0.0,0.0,0,3,3,Siapa Dosen yang ada disidang Naufal Hafizh,2025-05-23T22:28:54.461162,1.476,4974,77,5051,txt_source,
113,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rikrik,2025-05-23T22:29:01.188878,1.946,5262,211,5473,txt_source,
114,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan ruangan tempat sidang Diva Sabila Ramadhan,2025-05-23T22:29:16.355395,2.004,5267,217,5484,txt_source,
115,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapakan NIM dari Angga,2025-05-23T22:29:31.623801,2.164,5263,220,5483,txt_source,
116,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Munculkan jadwal dari Bapak Irawan,2025-05-23T22:29:45.395286,3.523,5265,600,5865,txt_source,
117,K-1,schedule_rows,0,0,1,0.0,0.0,0.0,0,1,0,Di mana sidang mahasiswa bernama Alif dilaksanakan,2025-05-23T22:29:59.066607,9.609,5264,25,5289,txt_source,
118,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pada pukul berapa sidang Dedus Lihoko dimulai,2025-05-23T22:30:05.987150,2.082,5266,222,5488,txt_source,
119,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rizky Septiana,2025-05-23T22:30:14.762309,3.012,5264,225,5489,txt_source,
120,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Dicky,2025-05-23T22:30:22.816484,2.184,5263,222,5485,txt_source,
121,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa sidang Weldira Tarigan,2025-05-23T22:30:30.116252,2.054,5264,211,5475,txt_source,
122,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Rendy Dermawan berakhir,2025-05-23T22:30:37.277063,2.27,5265,214,5479,txt_source,
123,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Reichan dimulai,2025-05-23T22:30:43.761199,1.835,5262,216,5478,txt_source,
124,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa sidang akan dilaksanakan oleh Ferdy Mohamad Firdaus,2025-05-23T22:30:59.687163,2.214,5269,215,5484,txt_source,
125,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa Dosen yang ada di sidang Dewi Mahiranie,2025-05-23T22:31:06.045920,2.186,4972,77,5049,txt_source,
126,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan sidang dari Adam,2025-05-23T22:31:13.691960,2.062,5262,226,5488,txt_source,
127,K-1,schedule_rows,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0,3,4,Tampilkan jadwal sidang Bu Rani,2025-05-23T22:31:25.110537,4.884,4279,809,5088,txt_source,
128,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Dimana ruang sidang Rizky Renaldi Cahya Febrian,2025-05-23T22:31:32.142028,2.8,4285,222,4507,txt_source,
129,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa atas nama Dita,2025-05-23T22:31:38.770214,2.026,4283,222,4505,txt_source,
130,K-1,schedule_rows,0,0,3,0.0,0.0,0.0,0,3,0,Tanggal berapa Pak Dwi sidang,2025-05-23T22:31:43.700333,1.065,4280,25,4305,txt_source,
131,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Hari apa saja Bu Utami  menghadiri sidang skripsi,2025-05-23T22:49:58.805146,3.016,4287,420,4707,txt_source,
132,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Siapa saja mahasiswa yang sidang dengan Pak Ikbal,2025-05-23T22:32:02.894087,3.838,4283,593,4876,txt_source,
133,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Umar,2025-05-23T22:32:09.556357,1.933,4279,227,4506,txt_source,
134,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja dosen yang sidang bersama Pak Hidayat,2025-05-23T22:32:14.975134,1.323,3988,61,4049,txt_source,
135,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Sebutkan mahasiswa yang diuji oleh Bu Tati,2025-05-23T22:32:29.118694,5.699,4284,950,5234,txt_source,
136,K-1,schedule_rows,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,3,Sebutkan NIM mahasiswa yang diuji oleh Pak Dedeng,2025-05-23T22:32:39.626140,3.911,4285,615,4900,txt_source,
137,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tampilkan jadwal sidang dari mahasiswa Ahmad Haris,2025-05-23T22:32:46.748815,2.371,4282,220,4502,txt_source,
138,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan judul skripsi dari mahasiwa Muhammad Iqbal,2025-05-23T22:50:05.597525,2.201,4285,224,4509,txt_source,
