id,category,type,tp,fp,fn,precision,recall,f1,exact_match,n_ground_truth,n_pred,prompt,timestamp,latency_s,prompt_tokens,completion_tokens,total_tokens,source,error_notes
16,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Munculkan jadwal dari dosen Irfan,2025-05-23T17:41:12.708878,9.727,854,204,1058,txt_source,
17,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Di mana seminar Rizky dilaksanakan,2025-05-23T17:41:30.247018,7.533,852,379,1231,txt_source,
18,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pada pukul berapa seminar Rizal Sihombing dimulai,2025-05-23T17:41:40.950980,4.392,855,202,1057,txt_source,
19,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rizky Renaldi,2025-05-23T17:41:50.903641,4.113,854,206,1060,txt_source,
20,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Muhammad Rizky Pratama Solahudin,2025-05-23T17:42:04.764018,8.05,859,204,1063,txt_source,
21,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Rizky Renaldi Cahya Febrian,2025-05-23T17:42:14.400173,5.701,858,206,1064,txt_source,
22,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Rizal Sihombing berakhir,2025-05-23T17:42:29.140371,6.615,854,202,1056,txt_source,
23,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Jam berapa seminar Rizky dimulai,2025-05-27T18:29:59.105332,9.557,893,379,1272,txt_source,
24,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa seminar akan dilaksanakan oleh Rizky Pratama Solahudin,2025-05-23T17:42:54.870643,5.404,859,204,1063,txt_source,
25,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa Dosen yang ada diseminar Rizky Renaldi,2025-05-23T17:43:03.019884,3.611,638,67,705,txt_source,
26,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan seminar dari Muhammad Rizky,2025-05-23T17:43:14.552707,5.544,854,201,1055,txt_source,
27,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tampilkan jadwal Bapak Taryana,2025-05-23T17:43:44.502076,19.484,1663,343,2006,txt_source,
28,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Dimana ruang seminarnya Hafid,2025-05-23T17:43:53.621239,4.417,1664,213,1877,txt_source,
29,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa atas nama Simatupang,2025-05-23T17:44:04.711031,5.082,1669,201,1870,txt_source,
30,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tanggal berapa Bu Gentisya seminar,2025-05-23T17:44:27.407262,12.994,1665,383,2048,txt_source,
31,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Hari apa saja Pak Dedeng seminar,2025-05-23T17:44:54.400419,17.73,1664,380,2044,txt_source,
32,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja mahasiswa yang seminar dengan Pak Galih,2025-05-23T17:45:09.354929,7.107,1667,372,2039,txt_source,
33,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Dimas,2025-05-23T17:45:21.180642,6.346,1664,200,1864,txt_source,
34,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa saja dosen yang seminar bersama Pak Chrismikha,2025-05-23T17:45:37.791066,5.16,1448,81,1529,txt_source,
35,K-1,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Sebutkan mahasiswa yang diuji oleh Pak Eko Budi,2025-05-26T11:38:19.149170,12.73,3046,739,3785,txt_source,
36,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Sebutkan NIM mahasiswa yang diuji oleh Bu Anna Dara,2025-05-23T17:46:44.301015,20.802,3070,912,3982,txt_source,
37,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tampilkan jadwal seminar dari mahasiswa Muhammad Irsyad,2025-05-23T17:46:58.521197,8.114,3068,194,3262,txt_source,
38,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan judul skripsi dari mahasiwa Mochamad Yusuf,2025-05-23T17:47:08.947469,4.412,3071,215,3286,txt_source,
39,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Di ruang mana seminar dengan Bu Anna Dara,2025-05-23T17:47:34.292768,12.564,3066,912,3978,txt_source,
40,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Sacofi dilaksanakan,2025-05-23T17:47:45.465053,5.192,3065,210,3275,txt_source,
41,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa nama mahasiswa dengan NIM 10118058,2025-05-23T17:47:58.481251,6.144,1080,214,1294,txt_source,
42,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa dengan NIM 10118039,2025-05-23T17:48:08.418144,4.649,1082,214,1296,txt_source,
43,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana seminar NIM 10119192 berlangsung,2025-05-23T17:48:20.924749,7.752,1080,206,1286,txt_source,
44,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa seminar NIM 10117172 selesai,2025-05-23T17:48:33.568429,7.24,1080,214,1294,txt_source,
45,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Kapan tanggal seminar mahasiswa NIM 10118346,2025-05-23T17:48:45.806624,6.381,1080,203,1283,txt_source,
46,K-2,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa penguji seminar dari mahasiswa NIM 10119913,2025-05-26T11:38:26.606381,2.038,540,63,603,txt_source,
47,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa mahasiswa dengan NIM 10120901 seminar,2025-05-23T17:49:04.236360,5.303,765,200,965,txt_source,
48,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 27 Mei 2024, mulai 09.15",2025-05-23T17:49:22.612047,12.23,2450,209,2659,txt_source,
49,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6028, 27 Mei 2024, selesai 10.30",2025-05-23T17:49:43.025042,13.357,2450,205,2655,txt_source,
50,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6028, 29 Mei 2024, jam 8",2025-05-23T17:50:00.452755,8.005,2446,217,2663,txt_source,
51,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 29 Mei 2024, selesai 10.30",2025-05-23T17:50:17.669297,7.843,2450,206,2656,txt_source,
52,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 02 Jan 2024, mulai 09.15",2025-05-26T11:38:44.424282,9.925,3059,209,3268,txt_source,
53,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6010, 02 Januari 2024, mulai 10:30",2025-05-23T17:51:18.814441,22.941,3084,199,3283,txt_source,
54,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6028, 3 Januari 2024, selesai 09:15",2025-05-23T17:51:34.870668,8.577,3083,211,3294,txt_source,
55,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6010, 03 Januari 2024, selesai pukul 13",2025-05-23T17:51:48.323789,5.076,3082,202,3284,txt_source,
56,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,NIM mahasiswa yang diuji Chrismikha pada 21 Juni 2024,2025-05-23T17:52:09.385154,13.43,5077,379,5456,txt_source,
57,K-4,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Semua mahasiswa di ruang R6010 tanggal 21 Juni 2024,2025-05-23T17:52:33.013127,15.627,5077,743,5820,txt_source,
58,K-4,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Mahasiswa di ruang R6010 tanggal 2 Jan 2024,2025-05-26T23:54:00.190269,11.962,3051,721,3772,txt_source,
59,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,NIM mahasiswa seminar selesai pukul 09.15 tanggal 3 Jan 2024,2025-05-23T17:53:14.867080,8.733,3078,376,3454,txt_source,
60,K-4,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Mahasiswa yang diuji Anna tanggal 4 Jan 2024.,2025-05-23T17:53:30.048334,6.291,3074,564,3638,txt_source,
61,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Semua mahasiswa seminar di R6028 hari Sabtu,2025-05-23T17:53:49.136661,9.546,6677,373,7050,txt_source,
62,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Mahasiswa yang diuji Bu Sufaatin jam 09:15,2025-05-26T11:41:23.925629,8.757,6657,377,7034,txt_source,
63,K-4,lecturer_list,5,0,0,1.0,1.0,1.0,1,5,5,Semua dosen yang menguji di ruang R6010 tanggal 28 Juni 2024,2025-05-27T18:37:00.502492,3.594,6486,111,6597,txt_source,
64,K-4,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,NIM mahasiswa yang seminar di R6028 tanggal 27 Juni 2024,2025-05-23T17:54:47.843019,16.076,6686,917,7603,txt_source,
65,K-4,schedule_rows,12,0,0,1.0,1.0,1.0,1,12,12,Nama mahasiswa yang seminar pada tanggal 26 Jun 2024,2025-05-27T17:16:26.066430,19.798,6722,2160,8882,txt_source,
66,K-4,lecturer_list,4,0,0,1.0,1.0,1.0,1,4,4,Semua dosen yang menguji di hari Kamis ruang R6010,2025-05-23T17:55:27.735586,4.006,2851,93,2944,txt_source,
67,K-4,schedule_rows,0,0,2,0.0,0.0,0.0,0,2,0,Mahasiswa yang diuji oleh Bu Dian tanggal 5 Januari 2024,2025-05-26T11:41:47.322043,3.47,3050,25,3075,txt_source,
68,K-4,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,NIM mahasiswa yang seminar di R6010 hari Jumat,2025-05-23T17:56:24.017303,35.673,3070,563,3633,txt_source,
69,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,"Semua mahasiswa yang seminar di R6028, tanggal 4 Januari 2024",2025-05-23T17:56:51.421943,18.43,3078,384,3462,txt_source,
70,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa seminar di R6010 tanggal 2 Jan 2024,2025-05-23T17:57:03.078467,5.953,2814,33,2847,txt_source,
71,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah jadwal di R6028 tanggal 3 Jan 2024,2025-05-23T17:57:11.623235,2.569,2813,33,2846,txt_source,
72,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Total seminar mulai 09.15 tanggal 28 Juni 2024,2025-05-23T17:57:20.656604,3.6,6423,33,6456,txt_source,
73,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Banyak seminar di 6028 tanggal 26 Juni 2024,2025-05-26T21:43:50.830539,5.222,6427,33,6460,txt_source,
74,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah seminar berakhir 10.30 tanggal 24 Juni 2024,2025-05-23T17:57:41.473860,3.675,6423,33,6456,txt_source,
75,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa jumlah dosen yang seminar tanggal 4 Jan,2025-05-23T17:57:48.734125,2.109,2806,33,2839,txt_source,
76,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa banyak mahasiswa yang seminar hari Rabu,2025-05-23T17:57:55.399034,1.493,2804,33,2837,txt_source,
77,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Total seminar berakhir jam 11.45  tanggal 1 Juli 2024,2025-05-23T17:58:02.669870,2.555,4995,33,5028,txt_source,
78,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah jadwal di R6028 tanggal 2 Juli 2024,2025-05-23T17:58:11.371559,1.701,4992,33,5025,txt_source,
79,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Banyak seminar Bu Nelly hari Selasa,2025-05-23T17:58:20.979371,2.369,4981,33,5014,txt_source,
80,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah mahasiswa yang seminar di R6010 tanggal 4 Juli 2024,2025-05-23T17:58:29.471809,3.292,4994,33,5027,txt_source,
81,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa saja mahasiswa dengan seminar paling pagi pada tanggal 1 Juli 2024? Jika ada lebih dari 1 orang, ambil yang nim nya paling kecil.",2025-05-23T17:58:42.353844,6.165,5271,209,5480,txt_source,
82,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling akhir pada  4 Juli 2024,2025-05-23T17:58:56.752034,7.65,5253,193,5446,txt_source,
83,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Mahasiswa mana yang memiliki judul skripsi terpanjang pada 5 Juli 2024,2025-05-23T17:59:11.385301,8.377,5257,212,5469,txt_source,
84,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Di antara seminar tanggal 4 Juli 2024, siapa mahasiswa dengan NIM terkecil",2025-05-27T01:14:42.624439,4.833,5298,201,5499,txt_source,
85,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Untuk seminar tanggal 3 Juli 2024, judul mana yang muncul pertama secara alfabetis dan milik mahasiswa siapa",2025-05-23T17:59:47.848773,14.694,5261,206,5467,txt_source,
86,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa saja mahasiswa dengan seminar paling akhir pada tanggal 8 Juli 2024? Jika ada lebih dari 1 orang, ambil yang nim nya paling kecil",2025-05-23T18:00:01.022044,6.405,1459,206,1665,txt_source,
87,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling awal pada hari Senin? Jika lebih dari 1 orang ambil nim yang paling besar,2025-05-23T18:00:12.142346,6.359,1448,211,1659,txt_source,
88,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Mahasiswa mana yang memiliki judul skripsi paling singkat pada  tanggal 10 Juli 2024,2025-05-27T01:14:52.527601,5.303,1489,194,1683,txt_source,
89,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Di antara seminar tanggal 9 Juli 2024, siapa mahasiswa dengan NIM terkecil",2025-05-23T18:00:32.429959,4.104,1446,215,1661,txt_source,
90,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Untuk seminar tanggal 8 Juli 2024, judul mana yang muncul pertama secara alfabetis dan milik mahasiswa siapa",2025-05-23T18:00:48.843866,10.238,1450,212,1662,txt_source,
91,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling terakhir pada hari Senin,2025-05-23T18:00:59.349947,4.815,856,202,1058,txt_source,
92,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan NIM terkecil yang seminar di ruang  6010 pada 11 Desember 2023,2025-05-23T18:01:17.594719,9.78,873,201,1074,txt_source,
93,K-6,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja dosen yang menguji terbanyak pada tanggal 5 Januari 2024 jika lebih dari satu tampilkan sesuai urutan alphabet,2025-05-26T11:42:41.531605,4.495,2860,63,2923,txt_source,
94,K-4,lecturer_list,6,0,0,1.0,1.0,1.0,1,6,6,Urutkan berdasarkan alphabet nama dosen yang seminar di hari Jumat,2025-05-23T18:01:36.249149,3.52,2849,130,2979,txt_source,
95,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Pada seminar tanggal 2 Januari 2024, siapakah mahasiswa yang memiliki NIM terbesar",2025-05-23T18:01:58.529942,16.187,3077,211,3288,txt_source,
96,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan NIM terkecil yang seminar di ruang R6010 pada hari Selasa,2025-05-23T18:02:12.393909,8.092,3078,209,3287,txt_source,
97,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa mahasiswa dengan seminar paling pagi di ruang R6028 pada tanggal 3 Januari 2024? Jika lebih dari satu, ambil NIM terkecil.",2025-05-23T18:02:29.305149,9.102,3094,211,3305,txt_source,
98,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan NIM mahasiswa terkecil yang seminar di Ruang 6010 pada tanggal 3 Januari 2024,2025-05-26T13:00:44.819307,4.842,3061,193,3254,txt_source,
99,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Sebutkan NIM mahasiswa yang seminar di hari Sabtu, jika lebih dari satu tampilkan NIM yang terbesar",2025-05-26T11:43:02.688410,4.394,3053,196,3249,txt_source,
100,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Mahasiswa yang memiliki judul skripsi paling panjang pada tanggal 6 Januari 2024,2025-05-23T18:03:13.341395,6.603,3077,212,3289,txt_source,
101,K-1,schedule_rows,7,0,0,1.0,1.0,1.0,1,7,7,Tampilkan jadwal sidang Pak Andri,2025-05-26T11:44:54.802239,29.813,5182,1370,6552,txt_source,
102,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana sidang Ikhsan dilaksanakan,2025-05-23T18:04:07.011747,5.914,5209,221,5430,txt_source,
103,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa sidang Muhammad Rifqu dimulai,2025-05-23T18:04:18.470514,6.109,5209,217,5426,txt_source,
104,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Fermi Naufal Akbar,2025-05-23T18:04:28.555097,5.158,5210,213,5423,txt_source,
105,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Tri Novarel Rahmadhani,2025-05-23T18:04:40.022015,5.921,5212,210,5422,txt_source,
106,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa sidang  Muh Nur I,2025-05-23T18:04:50.826343,5.312,5209,220,5429,txt_source,
107,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Ferdi berakhir,2025-05-23T18:05:06.264140,9.655,5207,209,5416,txt_source,
108,K-1,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Tampilkan jadwal Ir.Taryana Suryana,2025-05-23T18:05:40.150959,19.894,5210,782,5992,txt_source,
109,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang  Miftah dimulai,2025-05-23T18:06:00.054104,5.483,5209,211,5420,txt_source,
110,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa sidang  Faishal akan dilaksanakan,2025-05-23T18:06:11.027774,5.366,5210,210,5420,txt_source,
111,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan sidang dari Toni Rizky Awalludin dimulai,2025-05-23T18:06:23.216537,4.997,5213,219,5432,txt_source,
112,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa Dosen yang ada disidang Naufal Hafizh,2025-05-23T18:06:31.370556,3.069,4980,76,5056,txt_source,
113,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rikrik,2025-05-23T18:06:43.479062,6.583,5207,211,5418,txt_source,
114,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan ruangan tempat sidang Diva Sabila Ramadhan,2025-05-23T18:06:54.026339,5.225,5212,217,5429,txt_source,
115,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapakan NIM dari Angga,2025-05-23T18:07:12.188868,9.209,5208,220,5428,txt_source,
116,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Munculkan jadwal dari Bapak Irawan,2025-05-26T11:45:10.714470,7.67,5185,600,5785,txt_source,
117,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di mana sidang mahasiswa bernama Alif dilaksanakan,2025-05-23T18:07:50.531383,5.473,5209,213,5422,txt_source,
118,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pada pukul berapa sidang Dedus Lihoko dimulai,2025-05-23T18:08:01.924890,4.969,5211,222,5433,txt_source,
119,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rizky Septiana,2025-05-23T18:08:12.787452,4.589,5209,225,5434,txt_source,
120,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Dicky,2025-05-23T18:08:25.165116,6.667,5208,222,5430,txt_source,
121,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa sidang Weldira Tarigan,2025-05-27T08:08:43.112206,4.411,5250,211,5461,txt_source,
122,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Rendy Dermawan berakhir,2025-05-23T18:08:48.986491,6.195,5210,214,5424,txt_source,
123,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Reichan dimulai,2025-05-23T18:09:01.072452,6.098,5207,216,5423,txt_source,
124,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa sidang akan dilaksanakan oleh Ferdy Mohamad Firdaus,2025-05-23T18:09:17.260334,10.334,5214,215,5429,txt_source,
125,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa Dosen yang ada di sidang Dewi Mahiranie,2025-05-23T18:09:26.654766,3.548,4978,77,5055,txt_source,
126,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan sidang dari Adam,2025-05-23T18:09:43.041015,10.003,5207,226,5433,txt_source,
127,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Tampilkan jadwal sidang Bu Rani,2025-05-23T18:10:08.468853,17.547,4224,617,4841,txt_source,
128,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Dimana ruang sidang Rizky Renaldi Cahya Febrian,2025-05-23T18:10:19.142632,5.148,4230,222,4452,txt_source,
129,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa atas nama Dita,2025-05-23T18:10:27.899267,3.649,4228,222,4450,txt_source,
130,K-1,schedule_rows,0,1,3,0.0,0.0,0.0,0,3,1,Tanggal berapa Pak Dwi sidang,2025-05-26T11:45:27.889895,4.862,4200,221,4421,txt_source,
131,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Hari apa saja Bu Utami  menghadiri sidang skripsi,2025-05-23T18:11:06.864578,13.262,4232,420,4652,txt_source,
132,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Siapa saja mahasiswa yang sidang dengan Pak Ikbal,2025-05-23T18:11:24.687759,10.136,4228,593,4821,txt_source,
133,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Umar,2025-05-23T18:11:35.113348,5.441,4224,227,4451,txt_source,
134,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja dosen yang sidang bersama Pak Hidayat,2025-05-23T18:11:44.886424,3.187,3994,61,4055,txt_source,
135,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Sebutkan mahasiswa yang diuji oleh Bu Tati,2025-05-23T18:12:12.822674,16.593,4229,1003,5232,txt_source,
136,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Sebutkan NIM mahasiswa yang diuji oleh Pak Dedeng,2025-05-23T18:12:35.244077,9.068,4230,605,4835,txt_source,
137,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tampilkan jadwal sidang dari mahasiswa Ahmad Haris,2025-05-23T18:12:48.508495,6.954,4227,220,4447,txt_source,
138,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan judul skripsi dari mahasiwa Muhammad Iqbal,2025-05-23T18:12:59.713229,4.814,4230,224,4454,txt_source,
